0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,seed,complex_param,EPH,corr
2.0,,0,,2,2,1,1,1.0,2.0,1,2.0,2,0.0,1.0,2,0,1.0,2.0,1,1,2,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2,2.0,1.0,2.0,0.0,2,1,2.0,2.0,1,2,1,1,2,1,1,2,2.0,2.0,2,2.0,2,,2.0,2.0,2,2.0,2.0,2.0,2.0,2.0,0.0,1.0,1,2.0,2.0,1,,1.0,0,2.0,2.0,2.0,2.0,2.0,,2.0,0,2,1,2,0.0,1.0,2,2.0,2.0,2.0,2.0,1,2.0,,1.0,,0,3,1.1760722347629797,-0.31731770279761395
3.0,2.0,2,3.0,2,1,2,2,2.0,2.0,2,2.0,2,1.0,1.0,1,2,2.0,2.0,2,2,2,3.0,3.0,2.0,3.0,3.0,1.0,2.0,1,1.0,3.0,3.0,2.0,2,2,3.0,3.0,1,0,2,1,2,2,0,2,2.0,1.0,3,3.0,1,2.0,1.0,0.0,0,3.0,0.0,2.0,1.0,0.0,2.0,1.0,1,2.0,3.0,1,2.0,1.0,2,3.0,2.0,3.0,3.0,0.0,0.0,2.0,2,2,2,2,2.0,0.0,2,3.0,0.0,2.0,2.0,2,3.0,3.0,2.0,3.0,1,3,1.228888888888889,-0.3446116158027815
,,0,,2,2,1,2,2.0,2.0,2,,1,0.0,0.0,1,0,2.0,2.0,1,1,0,,0.0,2.0,,2.0,1.0,2.0,2,2.0,2.0,,1.0,2,0,2.0,2.0,1,2,1,2,2,1,1,1,2.0,2.0,2,2.0,1,,2.0,2.0,2,,0.0,2.0,2.0,2.0,,2.0,1,2.0,2.0,1,2.0,2.0,1,,2.0,0.0,2.0,2.0,,2.0,2,2,2,2,2.0,2.0,1,2.0,0.0,2.0,2.0,1,2.0,,2.0,,2,3,1.2108843537414966,-0.3275132001020944
2.0,,2,,2,1,2,1,2.0,0.0,2,2.0,2,1.0,1.0,2,1,1.0,1.0,2,2,2,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2,1.0,2.0,2.0,2.0,2,1,,,2,2,1,2,2,1,2,0,2.0,2.0,1,1.0,2,2.0,0.0,2.0,2,0.0,2.0,2.0,0.0,1.0,2.0,2.0,1,2.0,2.0,1,2.0,1.0,0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2,2,1,1,2.0,1.0,1,2.0,0.0,0.0,2.0,1,2.0,,0.0,2.0,3,3,1.1690140845070423,-0.2618327751785946
,,1,2.0,1,2,2,2,2.0,2.0,0,,2,0.0,0.0,1,1,2.0,2.0,1,1,2,2.0,2.0,2.0,2.0,,1.0,2.0,2,2.0,,,2.0,1,0,2.0,2.0,1,2,2,1,2,1,1,2,1.0,0.0,2,2.0,2,2.0,1.0,0.0,1,2.0,2.0,2.0,2.0,2.0,,2.0,0,2.0,2.0,1,,1.0,0,,2.0,2.0,,2.0,,2.0,2,2,1,1,0.0,2.0,1,,2.0,2.0,2.0,2,2.0,0.0,1.0,2.0,4,3,1.178494623655914,-0.39191190692595773
2.0,,1,2.0,1,2,2,2,1.0,2.0,0,1.0,2,1.0,2.0,2,2,,2.0,1,0,2,1.0,2.0,,2.0,2.0,1.0,0.0,1,1.0,2.0,2.0,2.0,0,1,2.0,0.0,1,2,0,2,1,1,1,2,2.0,,1,0.0,2,2.0,0.0,2.0,0,1.0,2.0,2.0,2.0,,,2.0,2,2.0,2.0,1,,2.0,2,2.0,2.0,,2.0,2.0,0.0,2.0,2,2,2,2,,,1,2.0,2.0,1.0,1.0,2,2.0,2.0,,,5,3,1.1849315068493151,-0.2936404279171269
0.0,2.0,1,2.0,2,2,1,2,2.0,2.0,2,2.0,2,1.0,2.0,1,1,2.0,2.0,1,0,2,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2,0.0,2.0,2.0,2.0,1,1,2.0,0.0,0,0,1,2,1,2,2,2,2.0,2.0,1,2.0,2,2.0,1.0,2.0,1,0.0,2.0,2.0,2.0,0.0,,2.0,1,2.0,0.0,1,,1.0,2,2.0,2.0,,2.0,2.0,,,2,2,2,2,2.0,2.0,2,2.0,2.0,2.0,1.0,2,2.0,2.0,2.0,2.0,6,3,1.2178899082568808,-0.34799565984276964
,,1,2.0,2,1,2,2,2.0,1.0,2,2.0,2,1.0,2.0,0,2,2.0,0.0,1,1,1,0.0,2.0,2.0,2.0,,1.0,2.0,2,2.0,2.0,2.0,2.0,2,2,2.0,0.0,1,1,1,1,2,0,1,1,1.0,1.0,2,2.0,2,2.0,2.0,2.0,2,2.0,2.0,1.0,0.0,1.0,2.0,2.0,0,2.0,2.0,1,0.0,1.0,1,,1.0,,,2.0,,2.0,2,1,0,2,2.0,2.0,0,2.0,1.0,2.0,2.0,2,2.0,2.0,2.0,,7,3,1.205298013245033,-0.39529151113591005
2.0,0.0,2,0.0,2,1,2,2,2.0,2.0,2,0.0,0,2.0,2.0,1,1,2.0,2.0,0,2,1,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2,2.0,2.0,3.0,3.0,1,2,2.0,1.0,2,1,2,1,2,2,1,2,2.0,2.0,2,2.0,0,2.0,3.0,3.0,1,3.0,2.0,2.0,0.0,2.0,3.0,2.0,1,2.0,3.0,1,2.0,1.0,2,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2,2,2,2,0.0,2.0,2,3.0,2.0,3.0,2.0,0,2.0,0.0,2.0,3.0,8,3,1.2483069977426637,-0.3702409719765488
2.0,,1,0.0,2,1,0,1,2.0,2.0,1,2.0,2,1.0,2.0,1,1,2.0,2.0,1,0,1,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2,2.0,1.0,2.0,2.0,1,2,2.0,2.0,0,1,1,1,2,1,1,0,0.0,1.0,1,2.0,2,2.0,2.0,2.0,2,1.0,2.0,2.0,2.0,2.0,,0.0,1,2.0,2.0,1,2.0,1.0,2,2.0,2.0,,2.0,2.0,,2.0,0,2,2,1,2.0,2.0,1,2.0,2.0,2.0,2.0,2,2.0,2.0,2.0,2.0,9,3,1.1615720524017468,-0.5613776128442499
