0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,seed,complex_param
6.0,7.0,0.0,,8.0,8.0,8.0,,7.0,8.0,3.0,,8.0,0.0,8.0,7,0.0,7.0,,6,7.0,,0.0,3.0,0.0,,,8.0,8.0,3.0,3.0,,,0.0,6.0,7.0,,,8.0,8.0,1,8.0,5.0,7.0,7.0,8.0,,,6.0,3.0,,2.0,8.0,,,5.0,,5.0,,,0.0,8.0,7.0,,,4,,6.0,0.0,,,,,,4.0,,0.0,,8.0,7.0,0.0,,6.0,,4.0,1.0,,8.0,8.0,,,,0,9
,,10.0,,10.0,8.0,5.0,9.0,10.0,10.0,,,2.0,10.0,10.0,7,8.0,,9.0,8,4.0,9.0,1.0,,6.0,,,10.0,,,10.0,,,,,10.0,,,9.0,0.0,8,9.0,7.0,9.0,0.0,7.0,10.0,8.0,10.0,,8.0,,,0.0,0.0,,0.0,10.0,8.0,0.0,,9.0,7.0,10.0,,7,1.0,6.0,10.0,,6.0,,5.0,0.0,0.0,,10.0,9.0,10.0,9.0,10.0,0.0,9.0,,0.0,,,9.0,,8.0,,,1,9
,,0.0,1.0,8.0,8.0,7.0,4.0,6.0,8.0,8.0,,8.0,0.0,0.0,7,0.0,7.0,,6,5.0,0.0,,0.0,,,,7.0,8.0,,,,,,8.0,0.0,5.0,,4.0,,7,,6.0,7.0,7.0,6.0,5.0,,7.0,,,,8.0,,,,0.0,,,,,,7.0,,,8,,,8.0,,,0.0,,6.0,,,,4.0,,8.0,,,6.0,,0.0,8.0,5.0,,6.0,,7.0,1.0,2,9
,,,,2.0,4.0,6.0,5.0,,0.0,,,,6.0,,4,6.0,,,2,6.0,,,,6.0,,5.0,,,1.0,5.0,1.0,,,,,,,,1.0,3,5.0,5.0,6.0,,0.0,6.0,6.0,6.0,,6.0,,0.0,,5.0,0.0,,1.0,0.0,6.0,,,3.0,6.0,,3,,4.0,0.0,1.0,0.0,,,,,,4.0,1.0,5.0,4.0,3.0,4.0,5.0,2.0,0.0,0.0,,5.0,,,0.0,,3,9
,,5.0,,7.0,7.0,7.0,,4.0,,0.0,,6.0,0.0,0.0,2,5.0,,7.0,4,5.0,,4.0,,5.0,,6.0,6.0,7.0,,,5.0,,,1.0,0.0,1.0,,6.0,,6,,,6.0,3.0,4.0,,0.0,7.0,6.0,,,7.0,0.0,,,7.0,,,,,,0.0,,,3,,7.0,0.0,,2.0,,,,,6.0,,7.0,,6.0,0.0,,6.0,,3.0,,,2.0,,0.0,,6.0,4,9
,,3.0,,4.0,5.0,5.0,,4.0,,0.0,,6.0,4.0,6.0,4,5.0,,,2,0.0,,,5.0,,,,3.0,0.0,,4.0,,,,0.0,1.0,,0.0,3.0,6.0,0,,5.0,3.0,3.0,1.0,,,6.0,0.0,,,0.0,2.0,0.0,,,,4.0,,,,5.0,,,5,,,6.0,,1.0,,,1.0,0.0,,,4.0,6.0,6.0,,2.0,1.0,,,5.0,5.0,,,2.0,,,5,9
0.0,,4.0,,6.0,1.0,2.0,6.0,,4.0,6.0,,5.0,6.0,,4,5.0,,1.0,2,0.0,6.0,,0.0,6.0,3.0,,6.0,5.0,5.0,0.0,3.0,,,6.0,6.0,,0.0,0.0,0.0,4,5.0,,5.0,6.0,5.0,3.0,5.0,5.0,,6.0,,,3.0,5.0,0.0,,6.0,6.0,0.0,,6.0,1.0,3.0,0.0,3,,5.0,6.0,,6.0,,,,,,6.0,1.0,6.0,5.0,4.0,,5.0,,,,,3.0,,,4.0,,6,9
3.0,,4.0,,9.0,6.0,5.0,9.0,9.0,10.0,9.0,,8.0,7.0,9.0,0,7.0,,0.0,6,6.0,,0.0,10.0,,,,9.0,10.0,,10.0,10.0,,,10.0,9.0,,0.0,8.0,9.0,7,10.0,10.0,0.0,8.0,4.0,10.0,10.0,4.0,10.0,10.0,,10.0,,10.0,,,,0.0,,,,0.0,,,7,0.0,8.0,8.0,,9.0,,4.0,7.0,,,10.0,8.0,0.0,9.0,10.0,10.0,0.0,10.0,5.0,10.0,,6.0,3.0,9.0,,,7,9
6.0,0.0,9.0,0.0,10.0,10.0,10.0,,9.0,,,0.0,0.0,6.0,,8,7.0,,,0,8.0,,,,,,,10.0,10.0,1.0,,4.0,,,6.0,9.0,,1.0,3.0,10.0,4,10.0,10.0,8.0,9.0,,,,10.0,10.0,0.0,,5.0,,10.0,,,6.0,0.0,10.0,,,9.0,,,6,,9.0,10.0,,,6.0,,9.0,,5.0,,,,10.0,0.0,,10.0,,,,10.0,0.0,,0.0,,,8,9
,,7.0,0.0,8.0,7.0,0.0,8.0,8.0,5.0,8.0,,8.0,7.0,,6,7.0,,,5,0.0,,,,,,0.0,8.0,0.0,3.0,,,,,7.0,8.0,4.0,,0.0,7.0,7,3.0,,6.0,5.0,0.0,0.0,8.0,8.0,8.0,8.0,,,6.0,8.0,7.0,,,8.0,,,0.0,3.0,8.0,,6,8.0,7.0,8.0,,,,4.0,,,,0.0,8.0,8.0,2.0,,2.0,7.0,,,3.0,,8.0,,,,,9,9
,,3.0,0.0,10.0,9.0,9.0,9.0,10.0,2.0,9.0,,10.0,7.0,9.0,6,8.0,9.0,,0,8.0,10.0,5.0,,2.0,,,9.0,10.0,10.0,10.0,10.0,,,0.0,0.0,,,8.0,0.0,9,8.0,2.0,0.0,8.0,8.0,10.0,9.0,10.0,10.0,9.0,,10.0,10.0,10.0,0.0,0.0,9.0,10.0,7.0,,0.0,7.0,10.0,,5,,4.0,2.0,8.0,10.0,,,,,,8.0,10.0,10.0,9.0,,7.0,9.0,,10.0,,,9.0,,0.0,,,10,9
,,8.0,,1.0,9.0,9.0,6.0,7.0,9.0,2.0,,8.0,7.0,8.0,7,8.0,3.0,,8,9.0,,0.0,7.0,9.0,,,9.0,0.0,0.0,,,,,9.0,9.0,,,9.0,9.0,9,9.0,,6.0,7.0,9.0,,0.0,2.0,9.0,,0.0,,,,,,3.0,0.0,,,0.0,6.0,,,4,,8.0,0.0,,,4.0,,,,,9.0,,0.0,9.0,9.0,9.0,8.0,,9.0,0.0,,,5.0,,4.0,,11,9
,,3.0,,7.0,5.0,5.0,0.0,0.0,,8.0,,0.0,7.0,0.0,5,6.0,0.0,,4,7.0,8.0,,,,2.0,,6.0,8.0,,6.0,,,,,8.0,,,7.0,0.0,2,7.0,,7.0,6.0,7.0,,8.0,8.0,,8.0,,8.0,5.0,7.0,,7.0,0.0,,,0.0,6.0,4.0,1.0,,3,,8.0,0.0,,,2.0,,2.0,,,7.0,8.0,8.0,8.0,,8.0,0.0,,,,8.0,7.0,,,,8.0,12,9
,,6.0,,3.0,6.0,7.0,7.0,,4.0,7.0,,0.0,7.0,,1,7.0,5.0,,4,6.0,7.0,,0.0,6.0,4.0,,0.0,4.0,0.0,7.0,,,0.0,7.0,7.0,,,6.0,5.0,7,0.0,,1.0,7.0,6.0,6.0,2.0,7.0,,6.0,4.0,,,6.0,,,5.0,5.0,1.0,2.0,7.0,0.0,7.0,,3,1.0,4.0,,0.0,6.0,,,,6.0,,,7.0,0.0,7.0,,,5.0,,0.0,,,,,,,,13,9
