0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,seed,complex_param,EPH,corr
2.0,,0,,2,2,1,1,1,2.0,1,2.0,2,0,1.0,2,0,1.0,2.0,1,1,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2,2.0,1.0,2.0,0.0,2,1,2.0,2.0,1,2,1,1,2,1,1,2,2.0,2.0,2,2.0,2,,2.0,2.0,2,2.0,2.0,2.0,2.0,2.0,0.0,1.0,1,2.0,2.0,1,,1.0,0,2.0,2.0,2.0,2.0,1.0,,2.0,0,2,1,2,0.0,1.0,2,2.0,2.0,2.0,2.0,1,2.0,,1.0,,0,3,1.1726457399103138,-0.28985988008729896
3.0,2.0,2,3.0,2,1,2,2,2,2.0,2,2.0,2,2,1.0,1,2,2.0,2.0,2,2,2.0,3.0,2.0,2.0,3.0,3.0,1.0,2.0,1,1.0,3.0,3.0,2.0,2,2,3.0,3.0,1,0,2,1,2,2,0,2,1.0,1.0,3,3.0,1,2.0,1.0,0.0,0,3.0,0.0,2.0,1.0,0.0,2.0,1.0,1,2.0,3.0,1,2.0,1.0,2,3.0,1.0,2.0,3.0,0.0,0.0,1.0,2,2,2,2,2.0,0.0,2,3.0,0.0,2.0,2.0,2,3.0,3.0,2.0,3.0,1,3,1.2191780821917808,-0.2788949204156649
1.0,,0,,2,2,1,2,2,2.0,2,2.0,1,0,0.0,1,0,2.0,2.0,1,1,0.0,2.0,0.0,2.0,2.0,2.0,1.0,2.0,2,2.0,2.0,2.0,1.0,2,0,2.0,2.0,1,2,1,2,2,1,1,1,2.0,2.0,1,2.0,2,2.0,2.0,2.0,2,2.0,0.0,2.0,2.0,2.0,,2.0,1,2.0,2.0,1,2.0,2.0,1,,2.0,0.0,2.0,2.0,,2.0,2,2,2,2,2.0,2.0,1,2.0,0.0,2.0,2.0,1,2.0,,2.0,,2,3,1.2084367245657568,-0.3429177230401196
2.0,,2,,2,1,2,1,2,0.0,2,2.0,2,1,1.0,2,1,2.0,1.0,2,2,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2,1.0,2.0,2.0,2.0,2,1,,,2,2,1,2,2,1,2,0,2.0,2.0,1,1.0,2,2.0,0.0,2.0,2,0.0,2.0,2.0,0.0,1.0,2.0,2.0,1,2.0,2.0,1,1.0,1.0,0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2,2,1,1,2.0,1.0,1,2.0,0.0,0.0,2.0,1,2.0,2.0,0.0,2.0,3,3,1.162037037037037,-0.24918699342401396
,,1,2.0,1,2,2,2,2,2.0,0,,2,0,0.0,1,1,2.0,2.0,1,1,2.0,2.0,2.0,2.0,2.0,,1.0,2.0,2,2.0,,,2.0,1,0,2.0,2.0,1,2,2,1,2,1,1,2,1.0,0.0,2,2.0,2,2.0,1.0,0.0,1,2.0,2.0,2.0,2.0,2.0,,2.0,0,2.0,2.0,1,,1.0,0,,2.0,2.0,,2.0,,2.0,2,2,1,1,0.0,2.0,1,,2.0,2.0,2.0,2,2.0,0.0,1.0,2.0,4,3,1.178494623655914,-0.39191190692595773
2.0,3.0,1,2.0,1,2,2,2,1,2.0,0,1.0,2,1,2.0,2,2,3.0,3.0,1,0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,0.0,1,1.0,2.0,2.0,2.0,0,1,2.0,0.0,1,2,0,3,1,1,1,2,2.0,3.0,1,0.0,3,2.0,0.0,2.0,0,1.0,2.0,2.0,3.0,3.0,3.0,2.0,2,2.0,2.0,2,,2.0,2,2.0,2.0,3.0,2.0,2.0,0.0,3.0,2,2,2,2,3.0,3.0,1,2.0,3.0,1.0,1.0,3,2.0,2.0,3.0,3.0,5,3,1.1939655172413792,-0.35618004729374764
0.0,2.0,1,2.0,2,2,1,2,2,2.0,2,2.0,2,1,2.0,1,1,2.0,2.0,1,0,2.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2,0.0,2.0,2.0,2.0,1,1,2.0,0.0,0,0,1,2,1,2,2,2,2.0,2.0,1,2.0,2,2.0,1.0,2.0,1,0.0,2.0,2.0,2.0,0.0,,2.0,1,2.0,0.0,1,,1.0,2,2.0,2.0,,2.0,2.0,,1.0,2,2,2,2,2.0,2.0,2,2.0,2.0,2.0,1.0,2,2.0,,2.0,2.0,6,3,1.2196796338672768,-0.3216050984286574
,,1,2.0,2,1,2,2,2,1.0,2,2.0,2,1,2.0,0,2,2.0,0.0,1,1,1.0,0.0,2.0,2.0,2.0,,1.0,2.0,2,2.0,2.0,2.0,2.0,2,1,2.0,0.0,1,1,1,1,2,0,1,1,1.0,1.0,2,2.0,2,2.0,2.0,2.0,2,2.0,2.0,1.0,0.0,1.0,2.0,2.0,0,2.0,2.0,1,0.0,1.0,1,,1.0,,,2.0,,2.0,2,1,0,2,2.0,2.0,0,2.0,1.0,2.0,2.0,2,2.0,2.0,2.0,,7,3,1.1986899563318778,-0.41114315512288996
2.0,0.0,2,0.0,2,1,2,2,2,2.0,2,0.0,0,2,2.0,1,1,2.0,2.0,0,2,1.0,2.0,2.0,2.0,2.0,,2.0,2.0,2,2.0,2.0,,,1,2,2.0,1.0,2,1,2,1,2,2,1,2,2.0,2.0,2,2.0,0,2.0,,,1,2.0,2.0,2.0,0.0,2.0,,2.0,1,2.0,,1,2.0,1.0,2,1.0,2.0,,2.0,,,2.0,2,2,2,2,0.0,2.0,2,,2.0,,2.0,0,2.0,0.0,2.0,,8,3,1.2424242424242424,-0.09143136658050224
2.0,,1,0.0,2,1,0,1,2,2.0,1,2.0,2,1,2.0,1,1,2.0,2.0,1,0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2,2.0,1.0,2.0,1.0,1,2,2.0,2.0,0,1,1,1,2,1,1,0,0.0,1.0,1,2.0,2,2.0,2.0,2.0,2,1.0,2.0,2.0,2.0,2.0,,0.0,1,2.0,2.0,1,2.0,1.0,2,2.0,2.0,,2.0,2.0,,2.0,0,2,2,1,2.0,2.0,1,2.0,2.0,2.0,2.0,2,2.0,2.0,2.0,2.0,9,3,1.1582417582417583,-0.5291905111597618
